symbol,mean,stdev,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105
GPPL,0.39,14.59,-95.2,-24.2,-15.92,-11.62,-9.09,-6.68,-5.06,-3.51,-1.95,-0.5,0.78,2.12,3.64,5.23,7.26,9.41,11.4,13.67,17.41,23.65,36.45
EXIDEIND,2.65,14.61,-64.91,-20.42,-14.92,-11.52,-8.64,-6.19,-4.01,-2.12,-0.26,1.51,3.3,5.02,6.73,8.79,10.63,12.26,14.2,15.99,18.65,24.17,48.37
WHIRLPOOL,2.61,14.61,-53.01,-20.47,-13.09,-7.37,-3.18,-0.25,0,0,0,0,0,0,1.14,3.24,5.57,8.25,11.02,14.15,18.38,25.14,87.92
3MINDIA,3.06,14.66,-80.22,-20.29,-14.21,-10.39,-7.16,-4.7,-2.74,-0.96,0.85,2.7,4.27,5.78,7.31,9.1,11.07,13.18,15.12,17.08,19.52,22.93,43.15
VINATIORGA,5.89,14.69,-56.25,-18.59,-11.5,-8.28,-5.32,-3.38,-1.4,0.91,3.02,4.82,6.47,8.19,9.9,11.55,13.46,15.48,18.03,20.28,22.99,27.18,51.53
ICRA,0.93,14.76,-84.17,-22.75,-14.52,-10.65,-7.88,-5.55,-3.88,-2.32,-1.09,0.2,1.4,2.72,4.38,5.88,7.84,9.65,11.65,14.48,17.32,21.73,50.33
ORIENTELEC,4.43,14.76,-58.19,-25.71,-11.36,-5.28,-2.38,-0.64,0.56,2.01,3.62,4.8,6.04,7.44,8.77,10.41,12.14,14,16.22,17.79,19.42,23.75,32.5
MARUTI,2.59,14.79,-76.83,-23.36,-16.5,-12.38,-9.08,-6.3,-3.89,-1.9,0.12,2.22,4.2,6.07,7.7,9.19,11.33,13.2,15.19,17.27,19.57,23.78,40.47
FDC,2.01,14.79,-84.41,-22.46,-16.05,-11.68,-8.87,-6.34,-4.4,-2.7,-1.22,0.27,1.8,3.34,5.26,7.31,9.66,12.03,14.67,17.01,20.3,25.44,60.25
COCHINSHIP,-2.01,14.79,-97.01,-22.56,-13.75,-10.38,-7.89,-6.22,-5.13,-3.97,-3.21,-2.48,-1.4,-0.41,0.93,2.53,4.04,5.61,7.38,9.42,12.68,15.85,35.98
SUNPHARMA,3.22,14.83,-172.85,-21.01,-13.39,-9.4,-6.36,-3.7,-1.71,0.2,1.8,3.31,4.52,5.74,7.06,8.39,9.69,11.42,13.53,15.42,18.21,23.61,57.32
MHRIL,-0.17,14.95,-82.9,-21.67,-15.02,-12.54,-10.4,-8.44,-6.56,-4.83,-3.11,-1.33,0.06,1.62,3.6,5.43,7.5,9.67,11.94,14.63,17.56,21.61,36.63
PERSISTENT,3.77,14.98,-59.12,-19.87,-12.86,-9.21,-6.76,-4.69,-2.69,-0.96,0.55,2.17,3.81,5.45,7.65,9.72,11.61,13.66,15.55,17.96,21.6,27.02,43.49
BAJAJCON,0.25,14.99,-96.97,-25.91,-16.59,-12.28,-9.17,-6.76,-4.73,-3.02,-1.38,-0.04,1.14,2.41,4.03,5.51,7.3,9.26,11.66,14.76,17.4,21.94,37.51
BASF,2.22,14.99,-72.97,-23.86,-18.11,-13.33,-10.07,-7.43,-5.05,-2.73,-0.57,1.7,3.88,5.77,7.6,9.52,11.15,13.12,15.12,17.33,19.56,24.64,41.74
DEEPAKNTR,6.78,15,-53.7,-17.65,-11.75,-8.43,-5.43,-3.07,-0.99,1.13,2.84,4.49,6.26,8.06,10.27,13,15.15,16.98,19.29,21.76,25.6,31.53,55
